X1,Reviews,Date
384,"Parasite is also a person who uses others to obtain advantage without doing anything in exchange . parasite is about poor family who are trying to get job in rich families home ,the son (kim ki woo ) is english tutor and his sister (ki jung ) art therapist and their parents mother (chung sook ) housekeeper and father (ki-taek) is driver . they are poor family but want to get rich so they fool park family to get this job. parasite is a success story and also winning everyone's heart ,it is also a top prize cannes film festival and best foreign film in golden globes. director bong joon ho is his seventh film and its too good . this movie told us about the ugly , brutal modern life . when someone lives out in the open and others are forced to live in shadow but everyone sucking one another's blood. this movie of director boong joon ho called it ""satirical black comedy thriller movie""so parasite is stunning movie and all characters are wonderful actors.",4 February 2020
385,"One of the best movies i've ever seen. This movie is full of wonderful surprises.
The scene where the sister sits on the toilet on her phone as it's overflowing was really striking and perfectly juxtaposed her true circumstances and the life she lived in Mr Parks house. Also the scene where the old housekeeper is attempting to push the shelves out of the way was striking and really unexpected whilst being satirical(laughed out loud). I have to say the house having a basement where her husband lived was the most shocked and surprised ive been in a while from a movie.It also works in a metaphorical sense to portray how although on the surface everything seems very normal in the house much like how the family seems to be regular people working for the Park family although they are deceiving them. The whole movie took me by surprise and I didn't see any of it coming; it's really clever. I laughed out loud many times sometimes feeling somewhat guilty for having done so. The director and everyone in the movie and involved deserve major praise for pulling it off. I also have to admit I was somewhat shocked that the son survived as it appeared he had bled out, i guess they were again playing on the idea of things not being as they seemed. It's a great movie in the sense that it explores deep subjects such as inequality, meritocracy, social class heirarchy ignorance but what makes it great is that you don't have to notice or connect to any of those themes what so ever to truly enjoy the movie, this movie is for everyone.
Satirical, metaphorical, genius, paradoxical, impulsive, genuine; watch this movie!!!!",4 February 2020
386,"This is the first time I can remember that a Korean-language film has been nominated for the Best Picture Oscar, and it is also nominated for Academy Awards in the International Feature (former Foreign Language Film), Original Screenplay, Production Design, Editing, and Director (Bong Joon Ho) categories as well. It is already the first Korean film to win the Palme d'Or at the Cannes film festival. This movie was funnier than I was expecting. Set in Seoul, it shows a poor family, the Kims, ingratiating themselves with a rich one, the Parks. The members of the rich family are actually quite decent, although somewhat condescending and gullible, and the Kims are likable rogues. The Kims, consisting of a father, mother, son, and daughter, live in a semi-basement apartment that looks out on an alley where drunks urinate. The father and mother are unemployed, the son Ki-woo (Choi Woo-shik) has failed the entrance exam for the South Korean university system, and the daughter Ki-jung (Park So-dan) has failed to get into an art school. They fold pizza boxes for cash. When a friend (Park Seo Joon) tells Ki-woo that the Park teenage daughter Da-hye (Jung Ji-so) needs a tutor, Ki-woo applies for and, with the help of documents forged by his sister, gets the job. Then when he learns that the Park toddler son needs an art therapist for a recent traumatic event, Ki-woo recommends his sister, without disclosing that that she is his sister. (The traumatic event that the boy suffered becomes important later.) With the help of Google, she bluffs her way into obtaining the position. Then Ki-jung figures out how to get the Park family chauffeur fired, and the Kim father Ki-taek (Song Kang-ho) gets the job. Using the cook/housekeeper's (Lee Jung Eun) peach allergy, they manage to get her fired as well, and the Kim mother Chung-sook (Jang Hye-jin) takes her place. By halfway through the film, the Parks are employing all four of the Kims without knowing that they are members of the same family. Complications ensue, of course, and there is a plot twist that I did not seek coming. As a social satire, this film is excellent, although the violent ending seemed incongruent with the rest of the film.",3 February 2020
387,"Parasite is a film that brings together a plethora of genres that all coalesce effectively. But this is truly a story that has many layers and the shifting tones create an atmosphere that is both eerily terrifying as well as holistically captivating. If you like movies with social commentary, this one is for you. It is so good, With pitch perfect performances from the entire cast and the smartest script of the year.It is a very strong contrast after 40 minutes of the story, to see the father of the family on the same scene , trying to save everything he has from his flooded house, while on the next scene, he has to pretend that everything is fine.So when the later half begins we begin to wrestle with thoughts like the morality of the rich and poor families. Are the rich really evil do ignoring the poor? Does the poor have the right to fool and steal from them?Finally, I think the description of all characters wants to show nobody is right or wrong. It's just the situations that makes us react the way we do.",3 February 2020
388,"'Parasite' is a South Korean family drama/black comedy, with some great acting and a unique premise. It doesn't take long to establish the characters, but does well to give us time to get to know them. It's essentially the tale of two families: the Kim's - Dad Ki-taek (Kang Ho), Mum (Hyae Jin), Son Ki-woo (Woo Shik) & Daughter Ki-jung (So Dam), and the Park's - Dad Dong-ik (Sun Kyun), Mum Yeon-kyo (Yeo Jeong), Son Da-song (Jung) & Daughter Da-hye (Ziso).The Kim's are poor, living in the 'slums', when Ki-woo gets a job tutoring Da-hye at the Park's nice house on the other side of Seoul. Even though there's symmetry in the parents/son/daughter, this isn't an 'Us' scenario, but rather an exploration of class, social status and unconscious biases. There's no ""good guys"" or ""bad guys"" - just a semi-realistic depiction of one family seeing the greener grass on the other side and taking an unconventional approach to get there.All of the actors are great, with a nice mix of fun and humour, with seriousness and desperation. The twist at the end of the second act is both unexpected and still poses a lot of questions - there's a few different ways it could've played out. Not quite a one-location film, but the house does serve as an extra character. Good score and cinematography. The ending is a fitting mix of bittersweet, devastating and hopeful.",1 February 2020
389,It's great movie with good story and you should watch it one time in your life and it's a best movie I ever watched in my life that explain you the feel of poor life and rich life but its have some unclear things for example why the children didn't tell his parents about the man s massageBut finally its deserve good ranking on IMDb,25 January 2020
390,"Just wanted to register my ""10"" for this movie. I'm late with this review and have nothing to add to the many other reviews previously posted.",8 January 2020
391,"I don't know whether if it's just me but each member of the ""parasitic"" family reminded me of some or other person that we would have met in our lives and even to ourselves. It is one of those movies that has brilliantly captured human greed and class discrimination on-screen.
The film starts out portraying the Kim family, their love for each other amidst all the poverty and difficulties and their omnipresent desire to grow rich. A ""lucky stone"" introduced in the beginning and running throughout the plot probables resonates with a classic human trait, clinging to the narrator throughout the plot. The all-too-powerful plot throws up some brilliant twists that could never have been guessed upon.
One of them leading to the protogonists' running away from the affluent Park's home after an eventful night. This scene is potrayed too realistic that it produces a sense of helplessness in the viewers. This juncture in the movie was too overwhelming for me- the brilliant but subtle portrayal of the darkness clouding into their lives and the classic reminder of ""actions gone too far"" makes you feel for them.
The transformation that the narrator's father undergoes after this night and his subsequent actions is a powerful blow to the socio- economic casteism that is present in our world.
A brilliant masterpiece that deserves to be watched and felt upon!!",25 December 2019
392,"When you go in unexpected get ready to be hit in the head harder than you can imagine.The movie takes you in for a slow burn which gradually comforts you in its comedic and slice of life plot which then unfolds into an epidemic rollercoaster of twists and turns. I intially thought this would be a gore or hardcore thriller film but it's something ethereal, something you need to let sink in as the film takes jabs at the hardships and reality of both stratas of life. The methodically cinematography and the clever use of sound effects and music makes every scene a work of art. The plot refelects human nature and what limits we are ready to cross in order to make ourselves secure and ignore our inhibitions no matter the cost. 2019 couldn't end any better....",18 December 2019
393,"Bong Joon-ho's (Snowpiercer/The Host) latest is coming to local screens w/the Palm D'Or stamp of excellence & it is well deserved. This twisty long con of a film finds a down on their luck family (downtrodden due to their own circumstances or the current economic paradigm in South Korea?) who thanks to a friend of the college aged son gets an opportunity to get a job as tutor for a rich family (the daughter's grades aren't up to snuff, at least according to the overprotective mother) but once he gets his foot in the door he finds he can bring the rest of his disparate clan (his mom, dad & sister) into the mix. His sister comes in as an artistic coach to the well-off youngest son & elaborate schemes are perpetrated to oust the driver & the maid (who worked at the property w/the architect of the manse) so that his parents can fill in those slots. So far so good (depending on whose side you happen to be on since the elite clan is depicted is out of touch & inheritors of the new Korea) but then a genius twist happens which throws the entire plot upside down, forcing our anti-heroes to make a decision which will effect their world. Wonderfully delineated as a lighthearted (at least for the most part) 'me against them' (there's a wonderful sequence where the working family rushes home in the rain & their journey home is literally a descent into hell) which rides the fine line between cruel & mirthful. One of the year's best, catch it!",9 December 2019
394,"South Korean film crews may be World Cinema's most painstakingly dedicated; the movies are detailed and creatively daring in ways that would be impermissible under Western studio supervision. As is the case with Bong Joon-ho's Parasite, they might also provide some of our time's most refreshingly, impressively original stories and supply timely commentary in the process.We meet the impoverished Kim family, father Ki-taek (Song Kang-ho), mother Chung-sook (Jang Hye-jin), son Ki-woo (Choi Woo-shik), and daughter Ki-jeong (Park So-dam), and we soon learn they aren't the most honest bunch. Ki-woo, through his friend Min-hyuk, gets hired as a homeschool English teacher, using forged Oxford documents, at the home of the upper-class Park family; tech company CEO Dong-ik (Lee Sun-kyun), his stressed-out wife Yeon-gyo (a wonderful Cho Yeo-jeong), teen daughter Da-hye (Jung Ji-so), and little Da-song (Jung Hyun-joon). This is but the beginning of the Kim family's sneaky ascent.Learning of Da-song's troubles, Ki-woo, going by ""Kevin"", informs Mrs. Park of an art therapist he knows named ""Veronica"", who is actually Ki-jeong, who may help Da-song evolve. Through a series of events I won't spoil, ""Veronica"" later gets the chance to recommend a new chauffeur for the Park family in the form of Ki-taek, going by ""Mr. Kim"", who in turn recommends a new housekeeper, played by Chung-sook.The way the Kims continually fool the Parks - from meticulous script recitations in their basement flat to ad-libbing based on research they've done for the fields they pretend to work in - is impossible to predict, clever, tense, and morbidly hilarious throughout. It is made even more amusing to behold thanks to how it's edited (for instance: cutting from Ki-taek lying to Yeon-gyo, to him finishing the same sentence during Ki-woo's rehearsals), how purposefully the staging and cinematography are done (the vast Park household juxtaposed against the cramped Kim residence), and how utterly believable these performances are.The actors who portray the Kims, in particular, give remarkably layered performances. Each actor is required to play the character in their natural environment, plus the persona they assume when posing as the Park family's home employees.The characters themselves are convincing actors, hence their successful duping of the Parks, which makes each actor's performance all the more considerable. And yes, it seems a bit unlikely that the Parks would fall for the scam and refrain from asking questions when each new employee of theirs happens to know someone suited for a very recently vacated position, but the film is self-aware and deliberate about this, not only because the Parks - in their carefree luxury - aren't the most observant.This is all comical to experience, yes, but what Bong has to say about class inequity and - during the films bleaker, later scenes - how it isn't necessarily so simple as letting the poor ""have some luxury"" for the sake of fairness, is what makes Parasite stick. We may understand the downtrodden Kims (we learn from a revelation that their desperation is not unique), and laugh at their conniving schemes, but are they truly Sherwoodian heroes in the end?Parasite is generally well-loved, but divisive in the circles you'd expect. My guilty-pleasure film critic Armond White is certain that the film scoffs at nuclear families (also calling it a ""cancel-culture comedy"" because, I guess, anti-family sentiments are common amongst those who also like to ""cancel"" offensive celebrities and, indeed, berate classism). So far as I can decipher, White's main evidence is the fact that, in the story, a traditional and successful family suffers comically at the hands of the semi-titular social parasites - who he likens to entitled, modern Communists and AntiFa terrorists.As mentioned, the Kims aren't strictly heroes or justified. Isn't this a bit like saying Midsommar seeks to paint Swedish tradition as perverse because it has characters (read: villains) who co-opt our customs perversely? But then, psh, who'd reason like that?",6 December 2019
395,"My favorite foreign language film and definitely my top 20 if not top 10 favorite film of all time
One of the most amazing story telling I have ever seen in a movie",3 December 2019
396,"It's hard to describe this movie, i will just say this is a critical point of view about the modern family and society. The transformation from a light comedy to a strange disturbing and a violent movie is unbelievable..... the party scene is a beautiful philosophical portrait about humans, this is truly a Powerful masterpiece.",1 October 2019
397,"This is , no doubt, modern masterpiece. Talent, imagination, wisdom, combined with actual theme make this one of the best movies in the 21-st century. Go and see it!",26 September 2019
398,Best movie of 2019. I am in awe. In fact it's one the best movies i have ever seen in my life. What a masterpiece no wonder it won the top award at the cannes film festival. You can never guess what is going to happen next or how it will end. Damn !! Wow and it begs the question who is the victim here?,24 August 2019
399,"This movie starts off with a seemingly predictable start, a poor kid pretends to be a college student in order to be an English tutor for a rich girl. But what unravels is an extraordinary story of power, greed, insanity, manipulation, and false appearances. It's a slow rise to disconcerting, uncomfortable, and then all of the sudden, it is disturbing and gory and... insane. There is no way to see what's coming next, I promise you that. This--THIS is a TRUE thriller. Highly recommend. The ending leaves questions unanswered, but many opportunities to philosophize on the condition of humanity.",28 December 2019
400,"The best movie of 2019 has everything: great acting, fabulous screenplay, with funny, tense and plot-twist moments, excelent directing, social critics and acid jokes. A monumental (but easy-to-consume) piece of art that satisfies all audience's tastes. Highly recommended.",12 December 2019
401,"Excellent writing, acting, direction, drama, suspense and action. A must see this year.",7 September 2019
402,Parasite is good movie of the year. What a story plot and execution was so nice.,21 December 2019
403,"Director Bong Joon-ho, the wildly innovative foreign director behind ""Snowpiercer"" and ""Okja"" has outdone himself with ""Parasite""- An original and profound look at class warfare that among many things is meticulously crafted, seamlessly blends drama and dark humor with several of the best performances I've seen all year.If you can get past that this isn't spoken in English, fellow film fans will be in for a real treat come awards season (or whenever it comes to streaming, because missing this would be a crime).This may just be favorite movie of the year, depending on after I see ""The Irishman"". Review for that coming soon!
Grade- A+",17 December 2019
404,"I didn't think I could have my expectations exceeded for this movie, but WOW! Bong Joon Ho really floored me with this one, I tell you what!",11 November 2019
405,"PARASITE
Directed by Bong Joon-Ho
How often does one get the opportunity to see a film, on the silver screen, which leaves you enriched by the immaculate craft of the filmmaker's original voice and style of storytelling? How often does a movie leave you inspired to just grab a stack of paper and a pen, and begin writing your very own story? Bong Joon-Ho's Parasite is definitely one of those movies which left me moved and inspired. It's one of those movies which beautifully broadened my view towards the world. This film tackles social issues in a visually visceral and cinematic manner; it doesn't rely on preachy monologues and melodramatic action to convey its underlying themes of class discrimination, greed, family, and morality. Bong Joon-Ho and his writer, Han Jin-won, craft the screenplay in a subtle style in order to convey the social issues that are revolving around the film.
Parasite tells the story of the Kim family, which is made of four individuals: a father, a mother, a teenage boy, and a teenage girl. This family takes interest in the Park family, who are incredibly rich and wealthy, when the teenage boy, played exceptionally by Choi Woo-shik, takes over his friend's job as an English tutor for the daughter of the Park family, who is a sophomore in high school. The film proceeds with the Kim family obtaining the various jobs around the house of the Park family, who are unaware of this. From there one, Bong Joon-Ho and his writer, Han Jin-won, tell a beautiful story of family, class discrimination, empathy, and morality in a satirical and dark manner.
Parasite embodies a countless number of flawless moments of storytelling, which can leave one entertained, thrilled, and moved. Bong Joon-Ho utilizes visual storytelling to not only heighten the thrills, but using minute details to depict the discriminations that are made between the rich and the poor. There are two scenes which depict the way the rich and the poor perceive heavy rainfalls. The Park family are enamored by the sight and scenery of the rain from their window. Whereas the Kim family, struggle to grab their personal belongings due to their basement apartment being flooded by the rainfall. Yang Jin-mo's editing immerses the viewer in these visually engaging scenes. There is one moment where she uses the shot of the overflowing water transitioning to a bird-eye shot of the Kim family and their neighbors struggling to take the water out of their homes by using buckets. This is what makes Parasite shine as this visual experience, where we as an audience, understand both sides of the coin. The audience is able to grasp a sense of the struggles that the poor have to face, and this is done with incredible cinematography by Hong Kyung-pyo.
The performances of Parasite are incredible. Each actor provides a nuanced and authentic performance; they faithfully portray the psychology of their characters. Another incredibly refreshing aspect of this film was how Bong Joon-ho and his writer, Han Jin-won, portray the Park family. They aren't portrayed as stingy rich people, they are kind, caring, and naïve. They are naïve to the point where they are baffled by the smell of a poor individual. Bong Joon-ho authentically depicts the humanity of both the wealthy and impoverished characters of the film. The way the characters are crafted and portrayed is what allows the film to augment Bong Joon-ho's original voice as a storyteller.
Parasite is not only the best film I have seen this year; it is the best film I have seen this decade. Thank you, Bong Joon-ho for crafting a tour de force of a film. Thank you for reassuring me, as an aspiring storyteller, that stories build bridges of unity. Thank you of inspiring me to write a story that is original and deeply resonates with my memory and my heart. As the great Japanese filmmaker, Akira Kurosawa once said, ""If you genuinely want to make movies, start writing screenplays. Take a lot of paper and a pen, and just write, write, and write."" Bong Joon-ho's masterpiece, Parasite, inspired me to go home and take a lot of paper and a pen, and just write the stories I want to tell. Thank you, Bong Joon-ho for shrewdly crafting a masterpiece that beautifully depicts the themes of class discrimination and filiality.",9 November 2019
406,"After hearing so praise much about Bong Joon-ho's latest film when it premiered at the Cannes film festival this year, I went in not trying to know too much about it. And it definitely lived up to the hype.The Kim family struggles to get by as the father, Ki-taek (Song Kang-ho), is unemployed and are forced to live in run-down basement apartment in an already poor neighbourhood. Conning and manipulation is second nature to the family as it is their only means to ensure they come close to living. And once the opportunity comes in the form of the wealthy Park family needing a new English teacher for their teenage daughter, the Kim's young adult son Ki-woo (Choi Woo-shik) takes the position to help his family get the money they need to escape their impoverished lifestyle. Through a series of planned and highly calculated manipulation and trickery, Ki-woo gets all of his family members employed but at the expense of getting the Park's previous driver and housemaid fired to steal their paid positions. Eventually the Kim's start living off the of the Parks's luxuries as if they entered the gates of heaven and awarded for their scheme.To explain anything more would ruin the rest of the story. The joy of it will be watching the twists unfold as the ideas and themes of Parasite take on a very unique and unexpected look at the class dynamic. The film portrays neither families as the hero or villain of this story. Similar to his English-language sci-fi thriller Snowpiercer, Bong Joon-ho dives deep into a surreal, abstract world to explore the class dynamic between the wealthy and the poor. The difference in this being neither side is worth rooting for nor against. The Kim's take advantage of the Parks's naivety through their con as the most sure-fire way to gain the benefits that are denied to them because of their class status. And so it means they are ignorant to the moral consequences made by their scam until it is too late. Meanwhile, the Parks are so condition to their wealthy and privileged lifestyle they are oblivious to how unfair they treat the lower class while being paranoid and frightened by what doesn't meet their high expectations. The cruel unexpected circumstances of the film's events prove no matter how well planned things go, the poor will still in the end be feeding off the scraps of the rich that blindly ignore them.Don't want to say anything much else about Parasite other then it is worth seeing without not much else about it. Go see it.",25 October 2019
407,"When we were student in art faculty, our teachers use to say to us ""art or artist can't be unbiased, you pick a side and tell your story."" I never agreed. This film approved I was right.",22 September 2019
408,"It's difficult to review a movie like this without revealing any spoilers. For real, you definitely want to avoid spoilers on this one. So, I'll just leave you with this.Parasite is an absolute must-watch movie for anyone who loves movies. You owe it to your life to watch the work of a master like Bong Joon-Ho at his very best.See it with a friend. Discuss it afterwards. Then see it again. You'll be glad you did.",8 December 2019
409,"This movie has 2 parts, the first one a kind of comedy, but too much smart, and the second is a complete tragedy,
This year the Oscar Awrd is very interesting, there are wonderful movies and Parasite is one of them",19 January 2020
410,"It's just Fantastically Fabulous Masterpiece shown in the most creative way as possible..The content is so unique, never seen before..so creative, suspenseful ...Hats off to the makers, they're at the best of movie work!!
People need to watch this!!!!",9 December 2019
411,"Go for it, and you'll not be disappointed.
Go for it, and you'll not be disappointed.
Go for it, and you'll not be disappointed.",24 November 2019
412,"Parasite is a movie where each element has the precise intended effect. Bong can shift from hilarity to tension in an instant, and showcase surface level plot elements and deeper class themes in one clever shot. If you haven't seen Parasite yet, I implore you to stop reading this and anything else about the movie and just go watch it.The class divide between the two families is at the thematic heart of Parasite. On a surface level everything the Kim family does is to earn money and live more comfortably, while the Park family is as secure as could be and are oblivious to the situation and scheme of the Kims. The twist adds to the complexity of the situation - who's the parasite in the situation and how did the Kim family and housekeeper family get to their respective situations? The ending is a devastating metaphor showing how the family is never really able to get out of the basement or buy that house. It's also an edge of your seat thriller where you're so nervous that the family is going to get caught and then that the other family is going to escape. Even the descent into violence at the end was controlled and each attack made sense. The comedy is an underrated element, as many scenes were very funny, especially the self-portrait artwork discussion which was hysterical. The acting was all excellent, and my two favorite performances were Jessica (the sister), who was so great in showcasing how she acted differently with her family and as a tutor, and Mrs. Park, who portrayed the innocent honesty of the upper class wife perfectly. The cinematography was great and reinforced the class themes, especially in the juxtaposition of how the houses are shot, with the cramped underground Kim house and the spacious green Park house, or how as they go back home in the pouring rain that they keep going down, down, down. So many things to absolutely love about this movie that I could go on about, and nothing feels incomplete or not fully satisfying. Parasite is a genuine masterpiece.",10 November 2019
413,"First Hit: I really enjoyed this story as it dives from the hilarious into the absurd.We are introduced to this South Korean family (the Kim family) as they are getting ready to eat. The below ground level home has few street-level windows as they look up from the table to see a drunk young man peeing on a wall near their home.We can tell the family is barely making it financially from the looks of the room, the view outside the room, and by their sparse, cryptic, and entertaining conversation. However, they seem to be engaged in their lives and hopeful because they are talking about the language of scheme making.The family consists of the father Ki-taek (played by Song Kang-ho), the mother Chung-sook (Jang Hye-jin), the son Ki-woo (Choi Woo-shik), and the daughter Ki-woo (Park So-dam).Ki-woo's friend Min-hyuk (Park Seo-joon) comes by their home, wanting to give Ki-woo a present. It is a rock sculpture that is supposed to bring economic well-being. Because Min-hyuk has to leave town for a while, he tells Ki-woo about a tutoring gig he wants him to take over while he's gone. The subject of his tutoring is a rich high school girl named Park Dye-hye (Jung Ji-so). Dye-hye's mother, Park Yeon-kyo (Jo Yeo-jeong), Min-hyuk says, isn't too bright, so he should easily pass the interview. Ki-woo expresses his worries that he'll be found out and may not be good enough, but Min-hyuk assures him that even though he's only got a high school education, he'll dazzle the ditzy Mrs. Park.When asking Min-hyuk why he's giving him this offer, Min-hyuk explains that he didn't want one of his college friends doing the gig because he loves this girl, wants to date her when she's out of high school and knows that Ki-woo is a true friend and wouldn't cross him in this way.Arriving at the Park home, he's let in by the housekeeper Gook Moon-gwang (Lee Jung-eun). Walking through the house, he's amazed at what a sizeable beautiful home it is. It's very modern and filled with all the luxuries he's never known and only dreamed about. The interview with Mrs. Park goes very well, and he's hired to tutor Dye-hye. Noticing artwork around the home, he asks about it. The mother explains that it is her wild son who shoots bows and arrows around the house. But he's also an artist and Mrs. Park thinks her son could be compared to the Andy Warhol anointed artist Jean-Michael Basquiat.Seeing an opportunity and because the family is wealthy and pays well, he says he may know of a young woman who is an Art Therapist that could work with the boy to become a great artist. Getting home, he tells his family about this and his sister is ready to do her part and take on a new role as Art Teacher and Therapist.I'll leave the rest to your imagination, but let's just say the family all participates in this adventure.But when the wealthy family takes a camping vacation, and the old housekeeper comes to collect something she left behind, the whole story starts to turn towards the macabre.Parasite is a perfect name for the film, and it is not easy to pin down all the aspects this film offers the viewer. As it won the Cannes Palme d'Or for best film and I can see why.Song, as the patriarch of the Kim family, was exquisite in embodying this character. Early in the film, when he announces that they need to leave the windows open when the street fumigators come down the street, I knew I was in for a ride. It was perfect for setting up his mindset. His silent looks while driving Mr. Park around after he learns that the Park's think he and his family smell, are spot on. Jo was excellent as Mrs. Park. Her expressions when buying into the stories shared Ki-woo and Ki-jung were priceless. She was the perfect foil and focal point of the Park family. Choi was terrific as the Kim family young man. His wistful story at the end of the film about finding his father was excellent. Park was sublime as the Kim family daughter turned instant Art Therapist. Her embodying the story she made up for herself was funny, engaging, and perfect. Jang, as mother to the Kim children, made me laugh. Her actions and responses during the opening scenes while the family was eating were scene-stealing. Lee Sun-kyun was outstanding as Mr. Park. His command of the family as he waltzed in from work was evident and clearly identified who was in charge of the Park family. Lee Jung-eun, as the housemaid for the Park family, was engaging. Her arriving back to collect what she left in the basement under the kitchen opened the door for the film to move to another level. Bong Joon-ho and Han Jin-won wrote a wildly entertaining screenplay that had both funny and dark edges. Joon-ho was outstanding directing this film. Some of the shots, especially as the family tried to get back home during a major storm, told much of the story. The direct downward view of the slums in which they lived, being flooded, was telling. Just as the shots of the luxurious home where they worked were just the opposite; clean, crisp, and wonderfully shot with various angles.Overall: This is a contender for Best Foreign Film and maybe even Best Picture.",12 October 2019
414,"Don't get the love people have for this movie. It starts as predictable slapstick comedy, then takes a sudden turn into a bloodsport parable on class warfare, and then then finishes -- can you guess? -- Nihilistic irony! Oh, that is really original, isn't it? All of the characters are unlikable, one-dimensional, amoral, lemmings. Apparently, Korean free enterprise economy makes them this way and their personal aspirations, ambitions, and accomplishments are simply results of circumstance and luck, as the wealthy and the poor are equally dimwitted, amoral, and self-interested.",9 February 2020
415,"This is a movie about a class struggle in South Korea, like what movie ""Us"" attempts to do but done properly. It is a stark reminder of what true living standards for most South Koreans look like, and its realism is very painful. Few are aware of the fact that up to the 1980s, South Korea was in fact more impoverished than North Korea, and it was only late that the situation reversed with famines of the 90s etc, but many people still live miserable lives, and situation is very similar to that in China, where a few got gloriously rich but the urban masses still live in bug infested cheap dwellings.Some crafty members of this underclass manage to con contemptuous rich man into employing them as his servants. For many Asians smell is a way to express utter contempt, and this is often directed against the white people, who, being able to process milk, smell ""like butter"" and are seen in rac ist light as unclean, but the same rac ist contempt is directed towards the poor. The poor accept these valuations and fight for the crumbles, like roaches in the dark, but in life and death situations, resentment might boil up and the contempt might cost the rich their empty heads.The movie paints a sad picture of modern East Asian societies, with many subtle points, criticizes their culture and emulation of the America, with a few cruel but precise strokes. The sheer talent of the Korean filmmaker, but also the fact that West likes movies from foreign countries that are self bashing, allowing the worst condescension rooted in colonialism that failed miserably in East Asia to thrive, one more reason to cheer this slightly overrated movie.",16 January 2020
416,Didn't have to time to watch before the Oscars. Just have and all awards duly deserved (even if there had been better competition). A movie to leave you speechless. It really is that good.,11 February 2020
417,"Whether you're a hardcore cinephile or a normal movie-goer, Bong-joon-ho's Parasite has got something for everyone. This genre-defying film picks up the social differences between rich and poor and mix it up with some of the best twists in the entire history of cinema.",10 February 2020
418,"I really love the way they mixed thriller and comedy, when it got serious it got really serious, when it was funny u would laugh your ass off. Definitely one of the greatest films ever made. I really didn't want it to end, but all good things must come to an end",2 January 2020
419,Parasite is one of the best movies that I've seen in 2019.,20 December 2019
420,"This is the best movie of 2019, over.
RESPECT, over.",7 December 2019
421,"Parasite is perfect reflection of the era that we live in. I believe it is not coincidence that while we are witnessing demonstration all over the world caused by ecenomic disparities, a movie like Parasite ( also we can add Joker) is publishing. Parasite is brilliant class struggle movie.
Fim starting with a lower class family who are living in a high class family's house as parasite. After the end of the movie I started to think that both family was parasite. Rich family, who are enable to handle daily difficulties, is in need of labour class. And Kim family using their need by cheating them.
Things I like:
#Park family's wannabe, American and the Indian references
#Elevation allegory between houses of the families and the social classes
#Rainfall sequence (Masterpiece directing !!)
#Wrestle of cockroaches to keep the house and the owners of the house does not aware of what is happenning.
#Below the coffe table scene
#Production of sets
#Rising of tension until the birth day party
#Smell of poornessI did Not like:
#Last 5 minutes ( I thing it was not necessery to show us what happened after the birthday party)",29 November 2019
422,"Don't read another review. Don't watch a trailer. As soon as you get the next opportunity, watch this film. That's all.",14 November 2019
423,"This genre transcending movie is a rare achievement in capturing the disparity in our global civilization as well as the clash of contrasting mindsets.A destitute family of four gradually inserts itself in the life of an upper class home in order to profit financially. At first things seem to go their way and the movie maintains a playfully comical tone but soon they must realize just how far apart their world is from that of their mark. The gap is insurmountable. The fun is over.The movie is no socialist propaganda. It's a brutally painted picture of class dynamic in society. Any human society. Be it past present or future. Things will never change because to have top people there must be bottom people. And in the underbelly of every nicely polished place an underground torrent of resentment builds up in silence in the hearts of the servants. Until a simple ill gesture of the master class makes it suddenly erupt. In this case it was the master holding his nose in disgust at the driver's damp clothes stink after he spent the last 24 hours salvaging his few belongings from his flooded home and sleeping on the floor of a refuge while currently holding his deadly wounded daughter in his arms. When all hope is lost the clash is unavoidable (valid also in the case of the other ""parasite"" family).While the weak (characters) cling to naive hope to the very end, the movie remains satirical, visceral and poignant but mostly intransigent offering no solution because there can't be any. On might call the family parasites or disenchanted survivors depending on the view point.",22 September 2019
424,"I will just say this first. If you are planning to watch this film, stop right here and watch it now before reading anything regarding this film because trust me you want to watch this without knowing anything not even the synonyms.Now, directed by Joon-ho Bong who also directed Memories of Murder and Snowpiercer, Parasite is a dark comedy thriller which mixes various other genre. Its really hard to describe this film. I would compare this with Quentin Taratino films like the title suggests. But even then this film has a lot of direct message to audience and themes which is very easy to notice. That aside Joon-ho Bong has also upped his game in terms of the structure and storytelling. So much so that at first viewing you won't notice the hidden details and metaphors this film presents. The name ""parasite"" is just one of them. At the end you will be thinking who the real parasites are. Is it the rich, the poor, their expendable need for a better living or the house itself? Acting wise I dint see a single false note by any actors. The main standout was of course the father played brilliantly by Kang-ho Song. Writing is however what makes this film so great. You can see when the director wrote this film he thought of everything. There is not a single loop hole. Every character choices make sense, everything falls into place even when it seems to bizarre yet it seems so completely realistic just because just how we got to that point.There is so much this film tries to say and you can see the director succeeded it gloriously when you think about it. The social structure with the way we live, our understanding and psychology at looking at people who live differently, our priorities and what we value. Joon-Ho Bong makes sure viewers will think after each act is completed and make your own judgement of what happened. He has completely turned a genre on its head. A film about social class has never been made like this before.Still, this film may not please to people who just want a happy ending feel good movie. Without spoiling anything till now I will say that the first half is completely different to the second half. If you are the type of person who can handle violence and shock in a film then I will recommend this for you. If you are the person who want something different and original other than what hollywood keeps throwing these days I will recommend this for you. If you think film are not just for entertainment but for the art itself I will recommend this for you. Film industry need to keep investing on visionary directors like Bong Zoon-Ho and you might just get a masterpiece like this once in a while.",18 September 2019
